salary,salary_matches,skills,original_index,Job Title,Company,Location,description
[],[],{'Communication'},10,Software Engineer,Capgemini,"Hyderabad, Telangana, India","Job Description

Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.



Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.1. Applies scientific methods to analyse and solve software engineering problems.2. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.3. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.4. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.5. The software engineer collaborates and acts as team player with other software engineers and stakeholders.



Has more than a year of relevant work experience. Solid understanding of programming concepts, software design and software development principles. Consistently works to direction with minimal supervision, producing accurate and reliable results. Individuals are expected to be able to work on a range of tasks and problems, demonstrating their ability to apply their skills and knowledge. Organises own time to deliver against tasks set by others with a mid term horizon. Works co-operatively with others to achieve team goals and has a direct and positive impact on project performance and make decisions based on their understanding of the situation, not just the rules.

Skills (competencies)

Verbal Communication"
[],[],set(),11,Software Engineer,Leela,San Francisco Bay Area,"Software Developer Intern (Backend / Full Stack) — Remote, Unpaid Internship
Leela – A Social Impact Marketplace"
[],[],{'Communication'},12,Software Engineer,Capgemini,Mumbai Metropolitan Region,"Job Description

Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.





Is the entry level in Software Engineering with a foundational understanding on programming concepts, software design and software development principles. Consistently works to direction with reducing supervision, producing accurate and reliable results. They are expected to be eager to learn and know when to ask questions and check for understanding. Understands and follows work processes. Is aware of costs related to own work. Organises own time to deliver against tasks set by others with a short term horizon. Works co-operatively with others to achieve team goals and has a direct and positive impact on project performance. Actively seeking feedback to improve and starting to manage own career with support.

Skills (competencies)

Verbal Communication

Written Communication"
[],[],set(),13,Software Engineer,StockX,"Detroit, MI","Help empower our global customers to connect to culture through their passions.



As a Software Engineer on our Platform Web team, you will serve as StockX.com's technical backbone, providing expertise and solutions across our web ecosystem.

Your role will support engineering teams leveraging web technologies by building and maintaining robust foundations for StockX.com's web architecture. For example, you will build our next-generation UI library, ensure our site is performant for our users worldwide, and build productivity tools used by other engineers across the organization.

You will be empowered to take ownership of technology decisions while playing a pivotal role in shaping our engineering culture at a fast-growing company.



















StockX is proud to be a Detroit-based technology leader focused on the large and growing online market for sneakers, apparel, accessories, electronics, collectibles, trading cards, and more. StockX's powerful platform connects buyers and sellers of high-demand consumer goods from around the world using dynamic pricing mechanics. This approach affords access and market visibility powered by real-time data that empowers buyers and sellers to determine and transact based on market value. The StockX platform features hundreds of brands across verticals including Jordan Brand, adidas, Nike, Supreme, BAPE, Off-White, Louis Vuitton, Gucci; collectibles from brands including LEGO, KAWS, Bearbrick, and Pop Mart; and electronics from industry-leading manufacturers Sony, Microsoft, Meta, and Apple. Launched in 2016, StockX employs 1,000 people across offices and verification centers around the world. Learn more at www.stockx.com."
[],[],set(),14,Software Engineer,Standard Bank Group,Nigeria,"Company Description

Standard Bank Group is a leading Africa-focused financial services group, and an innovative player on the global stage, that offers a variety of career-enhancing opportunities – plus the chance to work alongside some of the sector’s most talented, motivated professionals. Our clients range from individuals, to businesses of all sizes, high net worth families and large multinational corporates and institutions. We’re passionate about creating growth in Africa. Bringing true, meaningful value to our clients and the communities we serve and creating a real sense of purpose for you.



To design, develop, and maintain robust and scalable server-side applications by creating efficient APIs, managing databases, and optimizing system architecture, ensuring seamless integration with front-end systems and delivering secure, high-performance solutions that align with business objectives and user needs.













Additional Information"
[],[],set(),15,Software Engineer,Snap Inc.,"Toronto, Ontario, Canada","Snap Inc is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company’s three core products are Snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; Lens Studio, an augmented reality platform that powers AR across Snapchat and other services; and its AR glasses, Spectacles.

Snap Inc is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company’s three core products are Snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; Lens Studio, an augmented reality platform that powers AR across Snapchat and other services; and it's AR glasses, Spectacles.

Snapchat is a camera and messaging app that connects people to their friends and the world. Every day around the globe, millions of people use Snapchat to communicate with friends, build relationships, play, and learn. No matter where you are or how you express yourself, it’s always the fastest way to share a moment!

We’re looking for Entry Level Software Engineers to join the Bitmoji team at Snap Inc! This role will offer opportunities to join teams that are focused on various technical tracks, including mobile (iOS or Android), backend and full-stack.

Bitmoji is the digital identity used by Snapchat users every day. In conversations, self expression and augmented reality, your Bitmoji avatar places you and your friends in the digital world letting people communicate in ways that words alone could never capture.

What you'll do:



Knowledge, Skills, & Abilities:



Minimum Qualifications:



Preferred Qualifications:



If you have a disability or special need that requires accommodation, please don’t be shy and provide us some information.

""Default Together"" Policy at Snap: At Snap Inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. To reflect this, we practice a “default together” approach and expect our team members to work in an office 4+ days per week.

At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets.

Our Benefits: Snap Inc. is its own community, so we’ve got your back! We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. Our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in Snap’s long-term success!"
[],[],"{'SQL', 'Java', 'AWS', 'Kubernetes'}",16,Software Engineer,Interclypse,"Annapolis Junction, MD","Description

Interclypse is hiring a full-time onsite (40 hours/week) full-stack web developer in Annapolis Junction, Maryland. We are looking for a developer interested in being a core member of our travel and hospitality platform. This platform provides innovative technology solutions to the travel industry allowing companies of all sizes to engage in the global travel market. The primary technologies we use are ReactJS for our front-end application and Java with Spring Boot for our RESTful backend. Our application uses both MongoDB and SQL and runs on AWS in Kubernetes.

Our full-stack web developer position is geared towards individuals with limited software development experience or recent college graduates. With our unique career development program, you will be provided with mentorship, continuous learning opportunities, and the empowerment needed to grow as a software developer.









Bachelor’s Degree in Computer Science, Computer Engineering, Information Systems, or other relevant technical degrees







Experience with the following technologies:







Every employee has the opportunity to be rewarded for the contributions they can make toward the long-term health of the company, our customers, and our employees. This program, combined with our comprehensive benefits, time off, and leave programs, allows you to design a career and compensation program that enables unmatched flexibility while ensuring company, customer, and employee health and prosperity.





Interclypse is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.

The base salary range provided is not adjusted for geographic differences associated with where the work is being performed.

Actual salaries will vary depending on factors including, but not limited to, location, the candidate’s experience and education/training, internal peer equity, and market and business considerations."
[],[],{'Communication'},17,Software Engineer,Capgemini,"Sion, Maharashtra, India","Job Description

Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.



Works in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.1. Applies scientific methods to analyse and solve software engineering problems.2. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.3. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.4. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.5. The software engineer collaborates and acts as team player with other software engineers and stakeholders.



Has more than a year of relevant work experience. Solid understanding of programming concepts, software design and software development principles. Consistently works to direction with minimal supervision, producing accurate and reliable results. Individuals are expected to be able to work on a range of tasks and problems, demonstrating their ability to apply their skills and knowledge. Organises own time to deliver against tasks set by others with a mid term horizon. Works co-operatively with others to achieve team goals and has a direct and positive impact on project performance and make decisions based on their understanding of the situation, not just the rules.

Skills (competencies)

Verbal Communication"
[],[],"{'Testing', 'Data Mining'}",18,other,Amazon,"Bengaluru, Karnataka, India","DESCRIPTION

Cross Border Tech is looking for an experienced Software Development Engineer to work on our Cross Border technology stacks, which enables to launch new Cross Border arc with local language, local currency, local payments and build new features and enhancements. The Cross Border strategy, and roadmap is one of the most important initiatives across Amazon. You will design, architect and innovative technology solutions that will reduce time to market, standardize execution and scale for expansion globally. You will build, operate and play a key role in the evolution of our platform to solve the world's most complex technical challenges in Information extraction, Large-scale computing, Distributed systems, Web applications, Data mining, Scalability, Security, and Algorithms to name a few. You’ll strive for simplicity, and demonstrate significant creativity and high judgment. You will play a key role in stabilizing the day to day operations and improving the platform’s build and testing process, and ensure adherence to organizational software and security compliance.

The job is simple: make everything available to everyone all the time at the best possible price. The requirements are almost as simple - we’re looking for leaders and trailblazers who aren’t afraid of tackling massive scale, layered complexity and ambiguous requirements to empower our customers to shop the World. No two features are ever the same and our customers are hungry for every single one!





This is a contractual position which is ideal for candidates who are looking to deal with scaling challenges at Amazon and ready to build mission critical system software applications and tools. It is also an opportunity for freelance candidates to become domain experts and have an enormous opportunity to make a large impact on the design, architecture and development of consumer products. Depending on individual performance this experience can lead to permanent positions as Software Development Engineers at Amazon.

Key job responsibilities













Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.


- ADCI - Karnataka

Job ID: A2969693"
[],[],set(),19,Software Engineer,Oracle,"Bengaluru, Karnataka, India","Job Description

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.



As a member of the software engineering division, you will use basic knowledge of software architecture to perform tasks associated with developing, debugging or designing software applications or operating systems according to provided design specifications. Build enhancements within an existing software architecture.



Career Level - IC1



As a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s challenges. We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.

We know that true innovation starts when everyone is empowered to contribute. That’s why we’re committed to growing an inclusive workforce that promotes opportunities for all.

Oracle careers open the door to global opportunities where work-life balance flourishes. We offer competitive benefits based on parity and consistency and support our people with flexible medical, life insurance, and retirement options. We also encourage employees to give back to their communities through our volunteer programs.

We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by emailing accommodation-request_mb@oracle.com or by calling +1 888 404 2494 in the United States.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law."
