Job Title,Company,Location,Link,num_applicants,description,seniority_level,employment_type,job_function,industries,skills,salaries
Systems Software Engineer L4,Netflix,United States,https://www.linkedin.com/jobs/view/systems-software-engineer-l4-at-netflix-4202434316?refId=BkUELQQ27XF%2B2S554ok2Lw%3D%3D&trackingId=mw23x7xk7O9zNBPRDjDi7g%3D%3D,83 applicants,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

is a critical group within Netflix that builds and manages a content delivery network (CDN) that delivers all of Netflix’s streaming video. In addition to streaming video, we work on projects within Netflix that leverage physical infrastructure, such as our Cloud Games initiative. According to a 2023 Sandvine report, data delivered by Open Connect accounts for approximately 15% of all downstream traffic volume across the entire internet. All of this traffic is delivered by our edge cache servers.

A small team of talented software engineers develop and maintain the operating system that runs the content caches and the cloud gaming platform. Because of the important role of these servers, it is critical that they be both efficient and secure.



We are looking for a highly motivated Systems Software Engineer to enhance and maintain the edge server appliances used for cloud gaming and streaming video. In this role, you will have the opportunity to:



This role offers a chance to make a significant impact on a critical area of business. We provide the freedom to execute, learn and pivot, and the responsibility to be self directed, collaborative and insightful. You can read more about Netflix culture.













Be sure to review our culture page to learn more about the unique Netflix culture and the opportunity to be part of our team.

Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top-of-market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $100,000 - $620,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more details about our Benefits here.

Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Job is open for no less than 7 days and will be removed when the position is filled.",not found,not found,not found,not found,not found,not found
Software Engineer - Web Full-Stack,Firsthand,United States,https://www.linkedin.com/jobs/view/software-engineer-web-full-stack-at-firsthand-4215151088?refId=BkUELQQ27XF%2B2S554ok2Lw%3D%3D&trackingId=jE%2FYstYhng3pDkVZTK8Sxg%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
Backend Software Engineer,Pinterest,United States,https://www.linkedin.com/jobs/view/backend-software-engineer-at-pinterest-4197139336?position=2&pageNum=7&refId=LvCYEtPNoDlnnRonnLErBg%3D%3D&trackingId=hmrxi9ARc0IUgfbCdmm3jg%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209888688?position=4&pageNum=22&refId=dA9p8VgYFCmcEcn6hsPmbQ%3D%3D&trackingId=svp%2FYvUUrYHrjZFrpyns1Q%3D%3D,29 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"California, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209893054?position=9&pageNum=27&refId=Z5owcc4JO70rUMh60zH6PQ%3D%3D&trackingId=QQ9gISy9dAenyBWBctdN5Q%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"New Jersey, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209890308?position=2&pageNum=35&refId=3djuBMLSLqf9o%2BfMC3FeOw%3D%3D&trackingId=rGHrmqZv%2F%2F85u%2FCXLBAgKA%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"Oregon, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209893048?position=8&pageNum=45&refId=1lpZ1RponlBEo%2FLWbXHp3w%3D%3D&trackingId=AIiSCXaqMSHKJ7GOxlCwVw%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"Illinois, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209892097?position=6&pageNum=50&refId=slXmeVi8YWS6ffXO4B3Hjw%3D%3D&trackingId=LUU0x4dG%2F%2BgXl1iCsqrIIw%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"Florida, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209890309?position=10&pageNum=50&refId=slXmeVi8YWS6ffXO4B3Hjw%3D%3D&trackingId=0RvgPwPFbhknacbKpHig7Q%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"Massachusetts, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209894037?position=5&pageNum=52&refId=8fGCsov8wQFXbmo0nGuMBQ%3D%3D&trackingId=X1NAJKRceQkKHntPSLu0BQ%3D%3D,27 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"Virginia, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209894034?position=8&pageNum=52&refId=8fGCsov8wQFXbmo0nGuMBQ%3D%3D&trackingId=aIvBw2YCCTNb8u%2BKI%2B98qg%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"North Carolina, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209893050?position=5&pageNum=57&refId=K%2F8URb24B44KnTi9aSR9fQ%3D%3D&trackingId=sunSEwciDH7NKlOK%2BjNMZA%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Machine Learning",Grammarly,"Arizona, United States",https://www.linkedin.com/jobs/view/software-engineer-machine-learning-at-grammarly-4209895002?position=9&pageNum=65&refId=ZRVGNP%2FpZMPkwC1iI6oamw%3D%3D&trackingId=azD8%2FH9cidvVyLWABISmHw%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
Software Engineer (L5) - Consumer Engineering,Netflix,United States,https://www.linkedin.com/jobs/view/software-engineer-l5-consumer-engineering-at-netflix-4219576591?position=5&pageNum=72&refId=T1qqzdZEb6BS%2Bt9IVn3QiA%3D%3D&trackingId=%2FI0INRZWxzNPZwu7dw68gw%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
"Senior Software Engineer, Machine Learning, Applied AI",Google,"California, United States",https://www.linkedin.com/jobs/view/senior-software-engineer-machine-learning-applied-ai-at-google-4212839277?position=1&pageNum=90&refId=FAQ6xmP8HsUdrlu%2FFFYoNg%3D%3D&trackingId=YVAGKWUOmVD98tyVhp0riw%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
Embedded Software Engineer,Glydways,United States,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-glydways-4212768872?position=2&pageNum=22&refId=eTK6s0EZ%2F0UZ7IsrO%2FynRw%3D%3D&trackingId=wpendn7Jyg6zbi9t9kgh2Q%3D%3D,48 applicants,not found,not found,not found,not found,not found,not found,not found
Embedded Software Engineer,XpertDirect,"California, United States",https://www.linkedin.com/jobs/view/embedded-software-engineer-at-xpertdirect-4213513626?position=4&pageNum=62&refId=b%2Fyjy1d4Dpg2RhyZW%2BiVFA%3D%3D&trackingId=fiFqmKX6y5Scak%2FSNFcBWg%3D%3D,36 applicants,not found,not found,not found,not found,not found,not found,not found
Embedded Software Engineer (Contractor),Valkyrie,"Texas, United States",https://www.linkedin.com/jobs/view/embedded-software-engineer-contractor-at-valkyrie-4212405308?position=8&pageNum=72&refId=aWnlPR7ydRyIbHptMxmA3g%3D%3D&trackingId=VFJD54BTyVGxuO6jS0JKoA%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
Embedded Software Engineer (Contractor),Valkyrie,"Texas, United States",https://www.linkedin.com/jobs/view/embedded-software-engineer-contractor-at-valkyrie-4212400896?position=9&pageNum=72&refId=aWnlPR7ydRyIbHptMxmA3g%3D%3D&trackingId=GrxYzpuP%2FI5hDmWYVfLACw%3D%3D,Be among the first 25 applicants,not found,not found,not found,not found,not found,not found,not found
Embedded Software Engineer,Oxenham Group,United States,https://www.linkedin.com/jobs/view/embedded-software-engineer-at-oxenham-group-4161989794?position=3&pageNum=97&refId=IzoAv2kJsCft6b1OtIUtng%3D%3D&trackingId=fgDcp8dFm0OMES82u28AgA%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
Software Engineer I,OppFi,United States,https://www.linkedin.com/jobs/view/software-engineer-i-at-oppfi-4219931122?position=23&pageNum=0&refId=9Wl0ENffLV7bJ7J6Ot9RUA%3D%3D&trackingId=AP%2B1%2BFRDn6V2oAy35TpRtQ%3D%3D,Over 200 applicants,"OppFi is a tech-enabled, mission-driven specialty finance platform that broadens the reach of community banks to extend credit access to everyday Americans. Through best-in-class customer service, transparency, responsible lending, and financial inclusion, we support consumers, who are turned away by mainstream options, to build better financial health.

We are a team of caring, innovative, and inclusive individuals who thrive in being immersed in diverse talents, expertise, perspectives, and backgrounds. Our employees approach every new challenge with an unparalleled ability to see what could be rather than settle for what is. Our business principles guide us and create an open and collaborative culture where we improve 1% every day, and the best ideas always win! We welcome individuals who want to make an impact in the financial system by facilitating credit access, expanding financial inclusion, promoting financial health, and delivering exceptional customer service.

A few other fun facts about us. OppFi is one of the top consumer-rated financial platforms online, maintaining a 4.5/5.0-star rating on Trustpilot. We are a 2023 Crain’s Fast 50™ company and were named on Built In's 2024 Best Places to Work in Chicago.



As a Software Engineer I, you will help develop our applications and services for our product portfolio. Specifically, you will enhance, improve, develop, and maintain back-end services used across our entire technology platform.

















At OppFi, we are committed to fostering a fair and equitable workplace. The compensation range for this role reflects our good faith compensation estimate for this position. Final offers are determined based on a myriad of factors including, but not limited to experience, skills, qualifications, and other relevant business considerations. Candidates are encouraged to discuss compensation expectations during the hiring process. In addition to base pay, the total compensation package includes eligibility and potential for performance-based bonuses and equity grants dependent upon the role and job level.

OppFi offers a flexible, remote environment, 401(k) matching program, and generous paid time off. Other benefits include medical, dental, and vision coverage, and tuition reimbursement. Additional benefits include DoorDash DashPass, Figo pet insurance, Rocket Lawyer, and access to LinkedIn Learning. OppFi also offers Fringe, a lifestyle benefits platform that allows employees to decide how to spend rewards from dozens of vendors like Uber, DoorDash, and UrbanSitter.



$85,600 - $128,400 USD



OppFi is an equal opportunity employer and does not discriminate based on any actual or perceived legally recognized protected bases under local, state, federal law, or regulations. Our goal as a company is to build an equitable workplace that actively works to dismantle systems of oppression in our processes, procedures, and interactions. We aim to help our employees thrive where they work and beyond. Check out our Culture page here.

As part of OppFi’s commitment to providing equal opportunity to qualified individuals, OppFi will ensure that persons with disabilities are provided reasonable accommodation as defined by applicable laws and organizational policies. If reasonable accommodation is needed to participate in the job application or interview processes or job requirements, please contact our People Team at recruiting@oppfi.com.

Pursuant to the requirements of the California Consumer Privacy Act, OppFi is providing the ""OppFi California Employee Privacy Policy"", which details the categories of personal information collected and your rights under the policy. If you are a California resident, please review the policy here: https://www.oppfi.com/careers/.

The information in this document is for general informational purposes only. It is not intended to be an all-inclusive list or description of the organization and its requirements for positions and employees. OppFi reserves the right to modify or change the information on this document at its discretion.",Entry level,Full-time,Engineering and Information Technology,Financial Services,not found,not found
